MONTH,BOROUGH,TOTAL_REVENUE,TOTAL_TIPS,TIP_PCT
1,Manhattan,981717008.67,116240637.78999996,11.840544348669196
1,Queens,233243636.58,25361738.059999995,10.873496242758673
1,Brooklyn,53663478.38,4698755.45,8.755965121618342
1,Unknown,18637962.069999993,2114390.0300000003,11.344534461755137
1,Bronx,8919636.899999999,222526.19,2.494789782306049
1,UNKNOWN,3344649.6399999997,293054.30000000005,8.761883352302338
1,EWR,484426.83,58158.36,12.005602579857106
1,Staten Island,214839.23999999996,8791.27,4.092022481554116
2,Manhattan,1013360047.4000001,117596820.47000003,11.60464346031016
2,Queens,217711685.48999998,23795667.38,10.929899020552568
2,Brooklyn,55719611.300000004,4909791.3,8.811603644478403
2,Unknown,16377079.57,1905044.24,11.632380680922587
2,Bronx,9363144.59,192738.83999999997,2.0584840717492323
2,UNKNOWN,3551788.41,294276.28,8.28529872926749
2,EWR,445165.90999999986,51976.21000000001,11.675694124916264
2,Staten Island,207565.83000000002,8533.009999999998,4.110989752022285
3,Manhattan,921172947.49,106874533.78999998,11.602005256581872
3,Queens,226126707.68,24670949.05,10.910232277786816
3,Brooklyn,56673590.67999999,4806276.88,8.480628847284466
3,Unknown,13237282.719999999,1547247.6299999997,11.688559221163176
3,Bronx,10480069.21,214119.73,2.043113701918005
3,UNKNOWN,3590831.6599999997,266305.70999999996,7.4162682970217535
3,EWR,464523.56999999995,55134.41999999999,11.869025289717806
3,Staten Island,220839.14,11006.58,4.983980647633386
4,Manhattan,1036157719.3499999,117996571.9,11.387896813047085
4,Queens,248317778.01,26893624.540000007,10.830325865318018
4,Brooklyn,58626796.36,5228577.25,8.918408602601666
4,Unknown,16085647.229999999,1835998.8199999998,11.413894596518514
4,Bronx,9564208.360000001,255627.28000000003,2.67274896549828
4,UNKNOWN,3914813.5199999986,320479.77999999997,8.186335782349094
4,EWR,550783.26,63995.33,11.618967867687191
4,Staten Island,214187.05999999994,9745.69,4.55008346442591
5,Manhattan,960724027.9400002,108635122.08999997,11.307630384027883
5,Queens,244789468.20999998,26394405.43,10.782492246503338
5,Brooklyn,60504584.54999998,5350942.679999998,8.84386318788466
5,Unknown,13511342.119999997,1578594.7199999997,11.683478265740192
5,Bronx,9772924.92,265311.77,2.7147632072466594
5,UNKNOWN,3797155.6300000004,303597.71999999986,7.995398387186986
5,EWR,568305.02,67033.06,11.795260932236705
5,Staten Island,239750.88000000003,10086.609999999995,4.207121158429113
6,Manhattan,1031605973.8399999,116463492.81999998,11.289532609672852
6,Queens,261963942.47,28382089.74,10.834349747675791
6,Brooklyn,58370579.51000002,5048732.119999999,8.649446625992557
6,Unknown,14682258.019999998,1699576.56,11.575716471436866
6,Bronx,9356202.65,278016.04,2.9714623592510576
6,UNKNOWN,4249935.0,349310.89,8.21920547020131
6,EWR,606856.26,73079.73,12.04234590906255
6,Staten Island,282571.2,10668.180000000004,3.775395369379471
7,Manhattan,922608756.0100001,102307947.33000001,11.08898508317334
7,Queens,246245581.87000006,25849086.98,10.497279497849613
7,Brooklyn,52674946.45999999,4435742.23,8.420971501828463
7,Unknown,13578489.620000005,1510103.8900000001,11.121295020734417
7,Bronx,8907897.649999999,281301.12,3.1578845093712995
7,UNKNOWN,4328289.47,314570.77999999997,7.2677851650250185
7,EWR,577911.68,65120.049999999996,11.268166443702953
7,Staten Island,240935.30999999997,9016.100000000002,3.742124805201862
8,Manhattan,888843852.09,98666807.00000001,11.10057821382214
8,Queens,250242412.31,25725122.62,10.280080975295167
8,Brooklyn,50741629.55,4159744.6899999995,8.197893380426526
8,Unknown,13463850.180000002,1467918.31,10.902663728244189
8,Bronx,8897408.420000002,275303.7899999999,3.094202008094396
8,UNKNOWN,3973735.87,323248.64999999997,8.134628485007987
8,EWR,574730.9500000001,64282.79999999999,11.184850928943357
8,Staten Island,233432.55000000002,9555.68,4.093550792295248
9,Manhattan,898825814.5500002,101903524.25,11.337405156862156
9,Queens,230075806.94000003,24710201.250000004,10.740025897831151
9,Brooklyn,48063037.97,4249017.25,8.840509109416164
9,Unknown,14267412.070000002,1576328.7300000002,11.048455895617796
9,Bronx,7870037.84,272745.1599999999,3.465614340680221
9,UNKNOWN,3972498.44,296888.9599999999,7.473607969497401
9,EWR,550600.6299999999,63809.200000000004,11.589016888702073
9,Staten Island,214951.57,9224.439999999999,4.291403872974735
10,Manhattan,997861011.1699998,114956119.67,11.520253660899431
10,Queens,244132437.4,26810773.180000003,10.982060993423728
10,Brooklyn,51491757.29000001,4590762.719999999,8.91552932277095
10,Unknown,16115757.860000003,1825062.9000000004,11.324710360223792
10,Bronx,8354104.790000001,275640.89999999997,3.299466632618094
10,UNKNOWN,4248682.25,320641.30999999994,7.546841376523272
10,EWR,634468.0800000001,76194.88000000002,12.009253483642551
10,Staten Island,236313.50000000006,10457.879999999997,4.425426393329198
11,Manhattan,925685510.41,107492085.21999998,11.61216028674686
11,Queens,223293438.37,24802043.83,11.107376916693228
11,Brooklyn,45531347.25,3987650.6700000004,8.758033554563886
11,Unknown,15437474.72,1806795.2799999998,11.703956202494755
11,Bronx,7631527.030000002,232074.20999999996,3.0409930946677117
11,UNKNOWN,3605587.5300000007,294102.24,8.156846493198293
11,EWR,600394.6799999999,73896.09000000001,12.30791885097983
11,Staten Island,213886.05000000005,8593.349999999999,4.017723456017817
12,Manhattan,952066180.9700003,286932806.26,30.137905535901112
12,Queens,220793248.60999995,23751595.4,10.757392062269908
12,Brooklyn,50601852.88999999,4249987.57,8.398877367670243
12,Unknown,17144455.11,1926337.4000000001,11.235920813117053
12,Bronx,8396540.49,244075.37999999995,2.906856464167422
12,UNKNOWN,3582594.41,312173.84,8.713624939754204
12,EWR,660228.9099999999,76696.38,11.616634600263113
12,Staten Island,241925.94000000003,11003.960000000003,4.548482895219918
